net,length_um
u_decodestage.u_regfile0.register\[15\]\[18\],73.42
_01555_,73.39
_04269_,73.38
u_decodestage.u_regfile0.register\[13\]\[2\],73.24
net284,73.21
_03539_,73.2
_02948_,73.17
net155,73.15
net331,73.15
u_decodestage.u_regfile0.register\[14\]\[19\],73.08
net27,72.98
net409,72.98
_03998_,72.87
_02622_,72.84
u_decodestage.u_regfile0.register\[10\]\[11\],72.78
_03484_,72.765
u_decodestage.u_regfile0.register\[24\]\[26\],72.76
u_decodestage.u_regfile0.register\[14\]\[6\],72.72
u_decodestage.u_regfile0.register\[5\]\[16\],72.72
u_decodestage.u_regfile0.register\[7\]\[3\],72.64
u_decodestage.u_regfile0.register\[3\]\[24\],72.56
_03393_,72.49
net365,72.24
_02740_,72.18
_01305_,72.1
u_decodestage.u_regfile0.register\[11\]\[6\],72
u_decodestage.u_regfile0.register\[12\]\[28\],71.86
net408,71.76
_01371_,71.725
u_decodestage.u_regfile0.register\[11\]\[16\],71.7
_01867_,71.62
u_decodestage.u_regfile0.register\[29\]\[20\],71.535
_03729_,71.515
net265,71.43
_02391_,71.42
u_decodestage.u_regfile0.register\[11\]\[18\],71.3
net334,71.3
_04968_,71.215
_01549_,71.1
u_decodestage.u_regfile0.register\[6\]\[2\],71.095
net332,70.99
_03655_,70.94
u_decodestage.i_immo\[10\],70.805
u_decodestage.u_regfile0.register\[27\]\[26\],70.78
net381,70.765
u_decodestage.u_regfile0.register\[19\]\[26\],70.68
u_decodestage.u_regfile0.register\[3\]\[28\],70.68
u_decodestage.u_regfile0.register\[8\]\[18\],70.615
net276,70.61
u_decodestage.u_regfile0.register\[13\]\[18\],70.56
u_decodestage.u_regfile0.register\[16\]\[23\],70.465
net158,70.4
u_decodestage.u_regfile0.register\[9\]\[0\],70.28
net312,70.27
u_decodestage.u_regfile0.register\[10\]\[18\],70.265
_05366_,70.25
net298,70.25
u_decodestage.u_regfile0.register\[22\]\[26\],70.14
net360,70.08
u_decodestage.u_regfile0.register\[19\]\[28\],70.06
_02823_,69.95
_01698_,69.81
_03604_,69.76
u_decodestage.u_regfile0.register\[9\]\[12\],69.44
u_decodestage.u_regfile0.register\[15\]\[14\],69.395
_03098_,69.32
u_decodestage.u_regfile0.register\[17\]\[23\],69.295
net366,69.29
u_decodestage.u_regfile0.register\[12\]\[19\],69.285
u_decodestage.u_regfile0.register\[17\]\[10\],69.285
_01377_,69.28
u_memorystage.u_wrap_mem0.wrap_load_out\[23\],69.28
u_decodestage.u_regfile0.register\[23\]\[12\],69.275
net283,69.26
u_decodestage.u_regfile0.register\[17\]\[6\],69.24
_02152_,69.215
u_decodestage.u_regfile0.register\[24\]\[19\],69.095
_04999_,69.08
u_decodestage.u_regfile0.register\[24\]\[23\],68.96
_01393_,68.86
u_decodestage.u_regfile0.register\[23\]\[27\],68.83
_04112_,68.76
u_decodestage.u_regfile0.register\[31\]\[6\],68.76
u_decodestage.u_regfile0.register\[28\]\[29\],68.68
net372,68.54
net279,68.53
u_decodestage.u_regfile0.register\[10\]\[12\],68.46
_03024_,68.44
u_decodestage.u_regfile0.register\[10\]\[6\],68.36
u_decodestage.u_regfile0.register\[30\]\[0\],68.36
_01391_,68.2
u_decodestage.u_regfile0.register\[14\]\[3\],68.2
u_decodestage.u_regfile0.register\[18\]\[5\],68.18
u_decodestage.u_regfile0.register\[9\]\[28\],68.17
u_decodestage.u_regfile0.register\[4\]\[29\],68.15
_03628_,68.14
u_decodestage.u_regfile0.register\[24\]\[10\],67.84
_03603_,67.74
u_decodestage.u_regfile0.register\[27\]\[23\],67.7
u_decodestage.u_regfile0.register\[15\]\[3\],67.66
net204,67.54
u_decodestage.u_regfile0.register\[27\]\[27\],67.535
u_decodestage.u_regfile0.register\[26\]\[5\],67.515
u_decodestage.u_regfile0.register\[28\]\[20\],67.44
u_decodestage.u_regfile0.register\[7\]\[17\],67.425
u_decodestage.u_regfile0.register\[17\]\[2\],67.38
u_decodestage.u_regfile0.register\[17\]\[0\],67.32
_03163_,67.22
u_decodestage.u_regfile0.register\[10\]\[1\],67.14
u_decodestage.u_regfile0.register\[30\]\[21\],67.075
_02736_,67.035
_01825_,66.8
u_decodestage.u_regfile0.register\[8\]\[16\],66.8
u_decodestage.u_regfile0.register\[24\]\[14\],66.74
u_decodestage.u_regfile0.register\[15\]\[10\],66.64
u_decodestage.u_regfile0.register\[31\]\[17\],66.46
net406,66.38
_05362_,66.34
u_decodestage.u_regfile0.register\[14\]\[2\],66.3
